[2018-01-24T15:01:35.346] [INFO] app - 正在启动项目 模式: build
[2018-01-24T15:01:35.508] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-01-24T15:01:35.579] [INFO] app - 注册 Helper [moment]
[2018-01-24T15:01:35.580] [INFO] app - 注册 Helper [async]
[2018-01-24T15:01:35.586] [INFO] app - 注册 Helper [lodash]
[2018-01-24T15:01:35.590] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-24T15:01:35.590] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-24T15:01:35.591] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-24T15:01:35.591] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-24T15:01:35.623] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-24T15:01:35.629] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-24T15:01:35.667] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-24T15:01:35.698] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-24T15:01:35.701] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-24T15:01:35.704] [INFO] app - 注册 Controller [describe.describe]
[2018-01-24T15:01:35.706] [INFO] app - 注册 Controller [home]
[2018-01-24T15:01:35.707] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-01-24T15:01:35.709] [INFO] app - 注册 Controller [public.public]
[2018-01-24T15:01:35.992] [INFO] app - 注册 Controller [server.server]
[2018-01-24T15:01:36.107] [INFO] app - 注册 Router [articleinfo]
[2018-01-24T15:01:36.111] [INFO] app - 注册 Router [describe]
[2018-01-24T15:01:36.112] [INFO] app - 注册 Router [index]
[2018-01-24T15:01:36.113] [INFO] app - 注册 Router [presetproduct]
[2018-01-24T15:01:36.115] [INFO] app - 注册 Router [public]
[2018-01-24T15:01:36.116] [INFO] app - 注册 Router [server]
[2018-01-24T15:01:36.119] [INFO] app - 启动项目成功 端口：3000
