[2018-04-19T19:13:18.586] [INFO] app - 正在启动项目 模式: build
[2018-04-19T19:13:19.008] [INFO] app - 连接数据库 [mysql -h 127.0.0.1 -u root -D gdtv_cms]
[2018-04-19T19:13:19.206] [INFO] app - 注册 Helper [moment]
[2018-04-19T19:13:19.207] [INFO] app - 注册 Helper [async]
[2018-04-19T19:13:19.216] [INFO] app - 注册 Helper [lodash]
[2018-04-19T19:13:19.220] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-19T19:13:19.220] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-19T19:13:19.220] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-19T19:13:19.221] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-19T19:13:19.222] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-19T19:13:19.266] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-19T19:13:19.273] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-19T19:13:19.327] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-19T19:13:19.363] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-19T19:13:19.364] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-19T19:13:19.367] [INFO] app - 注册 Controller [api.api]
[2018-04-19T19:13:19.369] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-19T19:13:19.374] [INFO] app - 注册 Controller [describe.describe]
[2018-04-19T19:13:19.377] [INFO] app - 注册 Controller [home]
[2018-04-19T19:13:19.379] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-19T19:13:19.380] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-19T19:13:19.382] [INFO] app - 注册 Controller [public.public]
[2018-04-19T19:13:19.819] [INFO] app - 注册 Controller [server.server]
[2018-04-19T19:13:20.172] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-19T19:13:20.181] [INFO] app - 注册 Router [api]
[2018-04-19T19:13:20.182] [INFO] app - 注册 Router [articleinfo]
[2018-04-19T19:13:20.187] [INFO] app - 注册 Router [describe]
[2018-04-19T19:13:20.189] [INFO] app - 注册 Router [index]
[2018-04-19T19:13:20.191] [INFO] app - 注册 Router [presetproduct]
[2018-04-19T19:13:20.193] [INFO] app - 注册 Router [public]
[2018-04-19T19:13:20.194] [INFO] app - 注册 Router [server]
[2018-04-19T19:13:20.196] [INFO] app - 注册 Router [shophome]
