[2018-03-02T17:36:49.714] [INFO] app - 正在启动项目 模式: build
[2018-03-02T17:36:50.010] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-03-02T17:36:50.076] [INFO] app - 注册 Helper [moment]
[2018-03-02T17:36:50.076] [INFO] app - 注册 Helper [async]
[2018-03-02T17:36:50.083] [INFO] app - 注册 Helper [lodash]
[2018-03-02T17:36:50.086] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:36:50.087] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:36:50.087] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:36:50.087] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:36:50.089] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:36:50.139] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:36:50.147] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:36:50.204] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:36:50.251] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:36:50.252] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:36:50.257] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-03-02T17:36:50.265] [INFO] app - 注册 Controller [describe.describe]
[2018-03-02T17:36:50.267] [INFO] app - 注册 Controller [home]
[2018-03-02T17:36:50.270] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-03-02T17:36:50.273] [INFO] app - 注册 Controller [productlist.productlist]
[2018-03-02T17:36:50.276] [INFO] app - 注册 Controller [public.public]
[2018-03-02T17:36:50.601] [INFO] app - 注册 Controller [server.server]
[2018-03-02T17:36:50.940] [INFO] app - 注册 Router [articleinfo]
[2018-03-02T17:36:50.943] [INFO] app - 注册 Router [describe]
[2018-03-02T17:36:50.945] [INFO] app - 注册 Router [index]
[2018-03-02T17:36:50.947] [INFO] app - 注册 Router [presetproduct]
[2018-03-02T17:36:50.948] [INFO] app - 注册 Router [public]
[2018-03-02T17:36:50.950] [INFO] app - 注册 Router [server]
[2018-03-02T17:36:50.954] [INFO] app - 启动项目成功 端口：3000
