[2018-03-02T17:47:57.098] [INFO] app - 正在启动项目 模式: build
[2018-03-02T17:47:57.377] [INFO] app - 连接数据库 [mysql -h 127.0.0.1 -u root -D gdtv_cms]
[2018-03-02T17:47:57.449] [INFO] app - 注册 Helper [moment]
[2018-03-02T17:47:57.449] [INFO] app - 注册 Helper [async]
[2018-03-02T17:47:57.457] [INFO] app - 注册 Helper [lodash]
[2018-03-02T17:47:57.462] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:47:57.462] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:47:57.462] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:47:57.463] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:47:57.465] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:47:57.506] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:47:57.511] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:47:57.556] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:47:57.590] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:47:57.591] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:47:57.595] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-03-02T17:47:57.598] [INFO] app - 注册 Controller [describe.describe]
[2018-03-02T17:47:57.600] [INFO] app - 注册 Controller [home]
[2018-03-02T17:47:57.602] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-03-02T17:47:57.605] [INFO] app - 注册 Controller [productlist.productlist]
[2018-03-02T17:47:57.607] [INFO] app - 注册 Controller [public.public]
[2018-03-02T17:47:57.910] [INFO] app - 注册 Controller [server.server]
[2018-03-02T17:47:58.232] [INFO] app - 注册 Router [articleinfo]
[2018-03-02T17:47:58.236] [INFO] app - 注册 Router [describe]
[2018-03-02T17:47:58.238] [INFO] app - 注册 Router [index]
[2018-03-02T17:47:58.239] [INFO] app - 注册 Router [presetproduct]
[2018-03-02T17:47:58.241] [INFO] app - 注册 Router [public]
[2018-03-02T17:47:58.243] [INFO] app - 注册 Router [server]
[2018-03-02T17:47:58.247] [INFO] app - 启动项目成功 端口：3000
