[2018-03-02T17:40:47.436] [INFO] app - 正在启动项目 模式: build
[2018-03-02T17:40:47.634] [INFO] app - 连接数据库 [mysql -h 127.0.0.1 -u root -D gdtv_cms]
[2018-03-02T17:40:47.707] [INFO] app - 注册 Helper [moment]
[2018-03-02T17:40:47.708] [INFO] app - 注册 Helper [async]
[2018-03-02T17:40:47.714] [INFO] app - 注册 Helper [lodash]
[2018-03-02T17:40:47.719] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:40:47.720] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:40:47.721] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:40:47.722] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:40:47.723] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:40:47.775] [INFO] app - 注册 Middleware [heiner_static]
[2018-03-02T17:40:47.782] [INFO] app - 注册 Middleware [heiner_query]
[2018-03-02T17:40:47.870] [INFO] app - 注册 Middleware [heiner_body]
[2018-03-02T17:40:47.925] [INFO] app - 注册 Middleware [heiner_view]
[2018-03-02T17:40:47.927] [INFO] app - 注册 Middleware [Crossdomain]
[2018-03-02T17:40:47.932] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-03-02T17:40:47.937] [INFO] app - 注册 Controller [describe.describe]
[2018-03-02T17:40:47.940] [INFO] app - 注册 Controller [home]
[2018-03-02T17:40:47.946] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-03-02T17:40:47.948] [INFO] app - 注册 Controller [productlist.productlist]
[2018-03-02T17:40:47.951] [INFO] app - 注册 Controller [public.public]
[2018-03-02T17:40:48.282] [INFO] app - 注册 Controller [server.server]
[2018-03-02T17:40:48.848] [INFO] app - 注册 Router [articleinfo]
[2018-03-02T17:40:48.853] [INFO] app - 注册 Router [describe]
[2018-03-02T17:40:48.859] [INFO] app - 注册 Router [index]
[2018-03-02T17:40:48.862] [INFO] app - 注册 Router [presetproduct]
[2018-03-02T17:40:48.866] [INFO] app - 注册 Router [public]
[2018-03-02T17:40:48.870] [INFO] app - 注册 Router [server]
[2018-03-02T17:40:48.881] [INFO] app - 启动项目成功 端口：3000
