[2018-04-20T15:32:34.543] [INFO] app - 正在启动项目 模式: build
[2018-04-20T15:32:34.791] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-04-20T15:32:34.891] [INFO] app - 注册 Helper [moment]
[2018-04-20T15:32:34.892] [INFO] app - 注册 Helper [async]
[2018-04-20T15:32:34.906] [INFO] app - 注册 Helper [lodash]
[2018-04-20T15:32:34.911] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-20T15:32:34.911] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-20T15:32:34.912] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-20T15:32:34.912] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-20T15:32:34.913] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-20T15:32:34.954] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-20T15:32:34.962] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-20T15:32:35.008] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-20T15:32:35.045] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-20T15:32:35.046] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-20T15:32:35.050] [INFO] app - 注册 Controller [api.api]
[2018-04-20T15:32:35.052] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-20T15:32:35.055] [INFO] app - 注册 Controller [describe.describe]
[2018-04-20T15:32:35.057] [INFO] app - 注册 Controller [home]
[2018-04-20T15:32:35.060] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-20T15:32:35.062] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-20T15:32:35.064] [INFO] app - 注册 Controller [public.public]
[2018-04-20T15:32:35.412] [INFO] app - 注册 Controller [server.server]
[2018-04-20T15:32:35.993] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-20T15:32:36.001] [INFO] app - 注册 Router [api]
[2018-04-20T15:32:36.002] [INFO] app - 注册 Router [articleinfo]
[2018-04-20T15:32:36.006] [INFO] app - 注册 Router [describe]
[2018-04-20T15:32:36.010] [INFO] app - 注册 Router [index]
[2018-04-20T15:32:36.012] [INFO] app - 注册 Router [presetproduct]
[2018-04-20T15:32:36.013] [INFO] app - 注册 Router [public]
[2018-04-20T15:32:36.015] [INFO] app - 注册 Router [server]
[2018-04-20T15:32:36.017] [INFO] app - 注册 Router [shophome]
[2018-04-20T15:32:36.025] [INFO] app - 启动项目成功 端口：3000
