[2018-05-08T11:13:13.320] [INFO] app - 正在启动项目 模式: build
[2018-05-08T11:13:13.577] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-05-08T11:13:13.692] [INFO] app - 注册 Helper [moment]
[2018-05-08T11:13:13.693] [INFO] app - 注册 Helper [async]
[2018-05-08T11:13:13.704] [INFO] app - 注册 Helper [lodash]
[2018-05-08T11:13:13.709] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-08T11:13:13.710] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-08T11:13:13.710] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-08T11:13:13.710] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-08T11:13:13.712] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-08T11:13:13.775] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-08T11:13:13.783] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-08T11:13:13.843] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-08T11:13:13.888] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-08T11:13:13.888] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-08T11:13:13.893] [INFO] app - 注册 Controller [api.api]
[2018-05-08T11:13:13.897] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-05-08T11:13:13.901] [INFO] app - 注册 Controller [describe.describe]
[2018-05-08T11:13:13.904] [INFO] app - 注册 Controller [home]
[2018-05-08T11:13:13.906] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-05-08T11:13:13.909] [INFO] app - 注册 Controller [productlist.productlist]
[2018-05-08T11:13:13.912] [INFO] app - 注册 Controller [public.public]
[2018-05-08T11:13:14.410] [INFO] app - 注册 Controller [server.server]
[2018-05-08T11:13:15.133] [INFO] app - 注册 Controller [shophome.shophome]
[2018-05-08T11:13:15.148] [INFO] app - 注册 Router [api]
[2018-05-08T11:13:15.152] [INFO] app - 注册 Router [articleinfo]
[2018-05-08T11:13:15.156] [INFO] app - 注册 Router [describe]
[2018-05-08T11:13:15.158] [INFO] app - 注册 Router [index]
[2018-05-08T11:13:15.161] [INFO] app - 注册 Router [presetproduct]
[2018-05-08T11:13:15.164] [INFO] app - 注册 Router [public]
[2018-05-08T11:13:15.169] [INFO] app - 注册 Router [server]
[2018-05-08T11:13:15.173] [INFO] app - 注册 Router [shophome]
[2018-05-08T11:13:15.182] [INFO] app - 启动项目成功 端口：3000
