[2018-05-08T11:39:34.242] [INFO] app - 正在启动项目 模式: build
[2018-05-08T11:39:34.672] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-05-08T11:39:35.028] [INFO] app - 注册 Helper [moment]
[2018-05-08T11:39:35.028] [INFO] app - 注册 Helper [async]
[2018-05-08T11:39:35.059] [INFO] app - 注册 Helper [lodash]
[2018-05-08T11:39:35.067] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-08T11:39:35.068] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-08T11:39:35.068] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-08T11:39:35.068] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-08T11:39:35.072] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-08T11:39:35.192] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-08T11:39:35.217] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-08T11:39:35.450] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-08T11:39:35.559] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-08T11:39:35.560] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-08T11:39:35.618] [INFO] app - 注册 Controller [api.api]
[2018-05-08T11:39:35.621] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-05-08T11:39:35.626] [INFO] app - 注册 Controller [describe.describe]
[2018-05-08T11:39:35.631] [INFO] app - 注册 Controller [home]
[2018-05-08T11:39:35.634] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-05-08T11:39:35.637] [INFO] app - 注册 Controller [productlist.productlist]
[2018-05-08T11:39:35.641] [INFO] app - 注册 Controller [public.public]
[2018-05-08T11:39:36.614] [INFO] app - 注册 Controller [server.server]
[2018-05-08T11:39:37.431] [INFO] app - 注册 Controller [shophome.shophome]
[2018-05-08T11:39:37.442] [INFO] app - 注册 Router [api]
[2018-05-08T11:39:37.447] [INFO] app - 注册 Router [articleinfo]
[2018-05-08T11:39:37.450] [INFO] app - 注册 Router [describe]
[2018-05-08T11:39:37.452] [INFO] app - 注册 Router [index]
[2018-05-08T11:39:37.454] [INFO] app - 注册 Router [presetproduct]
[2018-05-08T11:39:37.469] [INFO] app - 注册 Router [public]
[2018-05-08T11:39:37.473] [INFO] app - 注册 Router [server]
[2018-05-08T11:39:37.476] [INFO] app - 注册 Router [shophome]
[2018-05-08T11:39:37.488] [INFO] app - 启动项目成功 端口：3000
