[2018-04-16T10:17:49.372] [INFO] app - 正在启动项目 模式: build
[2018-04-16T10:17:49.560] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-04-16T10:17:49.649] [INFO] app - 注册 Helper [moment]
[2018-04-16T10:17:49.650] [INFO] app - 注册 Helper [async]
[2018-04-16T10:17:49.661] [INFO] app - 注册 Helper [lodash]
[2018-04-16T10:17:49.666] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:17:49.666] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:17:49.667] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:17:49.667] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:17:49.668] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:17:49.709] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:17:49.714] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:17:49.758] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:17:49.788] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:17:49.788] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:17:49.793] [INFO] app - 注册 Controller [api.api]
[2018-04-16T10:17:49.795] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-16T10:17:49.798] [INFO] app - 注册 Controller [describe.describe]
[2018-04-16T10:17:49.801] [INFO] app - 注册 Controller [home]
[2018-04-16T10:17:49.803] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-16T10:17:49.805] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-16T10:17:49.807] [INFO] app - 注册 Controller [public.public]
[2018-04-16T10:17:50.121] [INFO] app - 注册 Controller [server.server]
[2018-04-16T10:17:50.425] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-16T10:17:50.432] [INFO] app - 注册 Router [api]
[2018-04-16T10:17:50.434] [INFO] app - 注册 Router [articleinfo]
[2018-04-16T10:17:50.441] [INFO] app - 注册 Router [describe]
[2018-04-16T10:17:50.442] [INFO] app - 注册 Router [index]
[2018-04-16T10:17:50.444] [INFO] app - 注册 Router [presetproduct]
[2018-04-16T10:17:50.446] [INFO] app - 注册 Router [public]
[2018-04-16T10:17:50.448] [INFO] app - 注册 Router [server]
[2018-04-16T10:17:50.452] [INFO] app - 注册 Router [shophome]
[2018-04-16T10:17:50.463] [INFO] app - 启动项目成功 端口：3000
