[2018-04-16T10:04:01.234] [INFO] app - 正在启动项目 模式: build
[2018-04-16T10:04:01.443] [INFO] app - 连接数据库 [mysql -h gdtvcmsdb.mysql.rds.aliyuncs.com -u gdtv_cms -D gdtv_cms]
[2018-04-16T10:04:01.566] [INFO] app - 注册 Helper [moment]
[2018-04-16T10:04:01.567] [INFO] app - 注册 Helper [async]
[2018-04-16T10:04:01.578] [INFO] app - 注册 Helper [lodash]
[2018-04-16T10:04:01.584] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:04:01.584] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:04:01.585] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:04:01.585] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:04:01.587] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:04:01.645] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:04:01.654] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:04:01.722] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:04:01.767] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:04:01.768] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:04:01.776] [INFO] app - 注册 Controller [api.api]
[2018-04-16T10:04:01.778] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-16T10:04:01.782] [INFO] app - 注册 Controller [describe.describe]
[2018-04-16T10:04:01.786] [INFO] app - 注册 Controller [home]
[2018-04-16T10:04:01.788] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-16T10:04:01.791] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-16T10:04:01.794] [INFO] app - 注册 Controller [public.public]
[2018-04-16T10:04:02.231] [INFO] app - 注册 Controller [server.server]
[2018-04-16T10:04:02.730] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-16T10:04:02.739] [INFO] app - 注册 Router [api]
[2018-04-16T10:04:02.740] [INFO] app - 注册 Router [articleinfo]
[2018-04-16T10:04:02.744] [INFO] app - 注册 Router [describe]
[2018-04-16T10:04:02.746] [INFO] app - 注册 Router [index]
[2018-04-16T10:04:02.748] [INFO] app - 注册 Router [presetproduct]
[2018-04-16T10:04:02.753] [INFO] app - 注册 Router [public]
[2018-04-16T10:04:02.755] [INFO] app - 注册 Router [server]
[2018-04-16T10:04:02.757] [INFO] app - 注册 Router [shophome]
[2018-04-16T10:04:02.764] [INFO] app - 启动项目成功 端口：3000
