[2018-04-16T10:11:55.826] [INFO] app - 正在启动项目 模式: build
[2018-04-16T10:11:56.033] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-04-16T10:11:56.126] [INFO] app - 注册 Helper [moment]
[2018-04-16T10:11:56.127] [INFO] app - 注册 Helper [async]
[2018-04-16T10:11:56.136] [INFO] app - 注册 Helper [lodash]
[2018-04-16T10:11:56.140] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:11:56.140] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:11:56.140] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:11:56.141] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:11:56.142] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:11:56.198] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:11:56.204] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:11:56.247] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:11:56.291] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:11:56.292] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:11:56.297] [INFO] app - 注册 Controller [api.api]
[2018-04-16T10:11:56.303] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-16T10:11:56.319] [INFO] app - 注册 Controller [describe.describe]
[2018-04-16T10:11:56.323] [INFO] app - 注册 Controller [home]
[2018-04-16T10:11:56.327] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-16T10:11:56.332] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-16T10:11:56.334] [INFO] app - 注册 Controller [public.public]
[2018-04-16T10:11:56.690] [INFO] app - 注册 Controller [server.server]
[2018-04-16T10:11:56.990] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-16T10:11:56.996] [INFO] app - 注册 Router [api]
[2018-04-16T10:11:56.998] [INFO] app - 注册 Router [articleinfo]
[2018-04-16T10:11:57.001] [INFO] app - 注册 Router [describe]
[2018-04-16T10:11:57.002] [INFO] app - 注册 Router [index]
[2018-04-16T10:11:57.003] [INFO] app - 注册 Router [presetproduct]
[2018-04-16T10:11:57.005] [INFO] app - 注册 Router [public]
[2018-04-16T10:11:57.006] [INFO] app - 注册 Router [server]
[2018-04-16T10:11:57.008] [INFO] app - 注册 Router [shophome]
[2018-04-16T10:11:57.015] [INFO] app - 启动项目成功 端口：3000
