[2018-04-16T10:58:19.726] [INFO] app - 正在启动项目 模式: build
[2018-04-16T10:58:20.037] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-04-16T10:58:20.316] [INFO] app - 注册 Helper [moment]
[2018-04-16T10:58:20.317] [INFO] app - 注册 Helper [async]
[2018-04-16T10:58:20.333] [INFO] app - 注册 Helper [lodash]
[2018-04-16T10:58:20.338] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:58:20.338] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:58:20.338] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:58:20.338] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:58:20.340] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:58:20.856] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:58:20.923] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:58:21.717] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:58:22.099] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:58:22.100] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:58:22.105] [INFO] app - 注册 Controller [api.api]
[2018-04-16T10:58:22.107] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-16T10:58:22.149] [INFO] app - 注册 Controller [describe.describe]
[2018-04-16T10:58:22.177] [INFO] app - 注册 Controller [home]
[2018-04-16T10:58:22.205] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-16T10:58:22.223] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-16T10:58:22.235] [INFO] app - 注册 Controller [public.public]
[2018-04-16T10:58:23.321] [INFO] app - 注册 Controller [server.server]
[2018-04-16T10:58:27.408] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-16T10:58:27.424] [INFO] app - 注册 Router [api]
[2018-04-16T10:58:27.433] [INFO] app - 注册 Router [articleinfo]
[2018-04-16T10:58:27.443] [INFO] app - 注册 Router [describe]
[2018-04-16T10:58:27.457] [INFO] app - 注册 Router [index]
[2018-04-16T10:58:27.465] [INFO] app - 注册 Router [presetproduct]
[2018-04-16T10:58:27.473] [INFO] app - 注册 Router [public]
[2018-04-16T10:58:27.483] [INFO] app - 注册 Router [server]
[2018-04-16T10:58:27.492] [INFO] app - 注册 Router [shophome]
[2018-04-16T10:58:27.498] [INFO] app - 启动项目成功 端口：3000
