[2018-04-16T10:13:20.252] [INFO] app - 正在启动项目 模式: build
[2018-04-16T10:13:20.549] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-04-16T10:13:20.659] [INFO] app - 注册 Helper [moment]
[2018-04-16T10:13:20.659] [INFO] app - 注册 Helper [async]
[2018-04-16T10:13:20.670] [INFO] app - 注册 Helper [lodash]
[2018-04-16T10:13:20.680] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:13:20.680] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:13:20.680] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:13:20.681] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:13:20.684] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:13:20.736] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-16T10:13:20.742] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-16T10:13:20.791] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-16T10:13:20.830] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-16T10:13:20.831] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-16T10:13:20.834] [INFO] app - 注册 Controller [api.api]
[2018-04-16T10:13:20.837] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-16T10:13:20.841] [INFO] app - 注册 Controller [describe.describe]
[2018-04-16T10:13:20.843] [INFO] app - 注册 Controller [home]
[2018-04-16T10:13:20.846] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-16T10:13:20.848] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-16T10:13:20.851] [INFO] app - 注册 Controller [public.public]
[2018-04-16T10:13:21.282] [INFO] app - 注册 Controller [server.server]
[2018-04-16T10:13:21.766] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-16T10:13:21.776] [INFO] app - 注册 Router [api]
[2018-04-16T10:13:21.777] [INFO] app - 注册 Router [articleinfo]
[2018-04-16T10:13:21.791] [INFO] app - 注册 Router [describe]
[2018-04-16T10:13:21.794] [INFO] app - 注册 Router [index]
[2018-04-16T10:13:21.796] [INFO] app - 注册 Router [presetproduct]
[2018-04-16T10:13:21.798] [INFO] app - 注册 Router [public]
[2018-04-16T10:13:21.801] [INFO] app - 注册 Router [server]
[2018-04-16T10:13:21.811] [INFO] app - 注册 Router [shophome]
[2018-04-16T10:13:21.823] [INFO] app - 启动项目成功 端口：3000
