[2018-05-03T10:08:46.140] [INFO] app - 正在启动项目 模式: build
[2018-05-03T10:08:46.335] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-05-03T10:08:46.419] [INFO] app - 注册 Helper [moment]
[2018-05-03T10:08:46.420] [INFO] app - 注册 Helper [async]
[2018-05-03T10:08:46.428] [INFO] app - 注册 Helper [lodash]
[2018-05-03T10:08:46.431] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-03T10:08:46.432] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-03T10:08:46.432] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-03T10:08:46.432] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-03T10:08:46.434] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-03T10:08:46.473] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-03T10:08:46.477] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-03T10:08:46.514] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-03T10:08:46.546] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-03T10:08:46.546] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-03T10:08:46.551] [INFO] app - 注册 Controller [api.api]
[2018-05-03T10:08:46.556] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-05-03T10:08:46.560] [INFO] app - 注册 Controller [describe.describe]
[2018-05-03T10:08:46.563] [INFO] app - 注册 Controller [home]
[2018-05-03T10:08:46.566] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-05-03T10:08:46.576] [INFO] app - 注册 Controller [productlist.productlist]
[2018-05-03T10:08:46.581] [INFO] app - 注册 Controller [public.public]
[2018-05-03T10:08:46.947] [INFO] app - 注册 Controller [server.server]
[2018-05-03T10:08:47.247] [INFO] app - 注册 Controller [shophome.shophome]
[2018-05-03T10:08:47.300] [INFO] app - 注册 Router [api]
[2018-05-03T10:08:47.301] [INFO] app - 注册 Router [articleinfo]
[2018-05-03T10:08:47.305] [INFO] app - 注册 Router [describe]
[2018-05-03T10:08:47.307] [INFO] app - 注册 Router [index]
[2018-05-03T10:08:47.309] [INFO] app - 注册 Router [presetproduct]
[2018-05-03T10:08:47.310] [INFO] app - 注册 Router [public]
[2018-05-03T10:08:47.312] [INFO] app - 注册 Router [server]
[2018-05-03T10:08:47.314] [INFO] app - 注册 Router [shophome]
[2018-05-03T10:08:47.323] [INFO] app - 启动项目成功 端口：3000
