[2018-05-03T09:55:49.421] [INFO] app - 正在启动项目 模式: build
[2018-05-03T09:55:49.684] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-05-03T09:55:49.783] [INFO] app - 注册 Helper [moment]
[2018-05-03T09:55:49.784] [INFO] app - 注册 Helper [async]
[2018-05-03T09:55:49.796] [INFO] app - 注册 Helper [lodash]
[2018-05-03T09:55:49.801] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-03T09:55:49.802] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-03T09:55:49.802] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-03T09:55:49.803] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-03T09:55:49.805] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-03T09:55:49.864] [INFO] app - 注册 Middleware [heiner_static]
[2018-05-03T09:55:49.871] [INFO] app - 注册 Middleware [heiner_query]
[2018-05-03T09:55:49.925] [INFO] app - 注册 Middleware [heiner_body]
[2018-05-03T09:55:49.970] [INFO] app - 注册 Middleware [heiner_view]
[2018-05-03T09:55:49.970] [INFO] app - 注册 Middleware [Crossdomain]
[2018-05-03T09:55:49.974] [INFO] app - 注册 Controller [api.api]
[2018-05-03T09:55:49.975] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-05-03T09:55:49.978] [INFO] app - 注册 Controller [describe.describe]
[2018-05-03T09:55:49.982] [INFO] app - 注册 Controller [home]
[2018-05-03T09:55:49.983] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-05-03T09:55:49.985] [INFO] app - 注册 Controller [productlist.productlist]
[2018-05-03T09:55:49.987] [INFO] app - 注册 Controller [public.public]
[2018-05-03T09:55:50.434] [INFO] app - 注册 Controller [server.server]
[2018-05-03T09:55:51.047] [INFO] app - 注册 Controller [shophome.shophome]
[2018-05-03T09:55:51.055] [INFO] app - 注册 Router [api]
[2018-05-03T09:55:51.057] [INFO] app - 注册 Router [articleinfo]
[2018-05-03T09:55:51.061] [INFO] app - 注册 Router [describe]
[2018-05-03T09:55:51.063] [INFO] app - 注册 Router [index]
[2018-05-03T09:55:51.065] [INFO] app - 注册 Router [presetproduct]
[2018-05-03T09:55:51.066] [INFO] app - 注册 Router [public]
[2018-05-03T09:55:51.068] [INFO] app - 注册 Router [server]
[2018-05-03T09:55:51.071] [INFO] app - 注册 Router [shophome]
[2018-05-03T09:55:51.079] [INFO] app - 启动项目成功 端口：3000
