[2018-01-11T16:37:32.755] [INFO] app - 正在启动项目 模式: build
[2018-01-11T16:37:32.971] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-01-11T16:37:33.043] [INFO] app - 注册 Helper [moment]
[2018-01-11T16:37:33.043] [INFO] app - 注册 Helper [async]
[2018-01-11T16:37:33.050] [INFO] app - 注册 Helper [lodash]
[2018-01-11T16:37:33.053] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-11T16:37:33.054] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-11T16:37:33.054] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-11T16:37:33.054] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-11T16:37:33.087] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-11T16:37:33.091] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-11T16:37:33.130] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-11T16:37:33.158] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-11T16:37:33.160] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-11T16:37:33.163] [INFO] app - 注册 Controller [describe.describe]
[2018-01-11T16:37:33.165] [INFO] app - 注册 Controller [home]
[2018-01-11T16:37:33.167] [INFO] app - 注册 Controller [server.server]
[2018-01-11T16:37:33.219] [INFO] app - 注册 Router [articleinfo]
[2018-01-11T16:37:33.222] [INFO] app - 注册 Router [describe]
[2018-01-11T16:37:33.223] [INFO] app - 注册 Router [index]
[2018-01-11T16:37:33.224] [INFO] app - 注册 Router [server]
[2018-01-11T16:37:33.227] [INFO] app - 启动项目成功 端口：3000
