[2018-01-08T10:04:13.792] [INFO] app - 正在启动项目 模式: build
[2018-01-08T10:04:14.014] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T10:04:14.073] [INFO] app - 注册 Helper [moment]
[2018-01-08T10:04:14.074] [INFO] app - 注册 Helper [async]
[2018-01-08T10:04:14.081] [INFO] app - 注册 Helper [lodash]
[2018-01-08T10:04:14.084] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:04:14.085] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:04:14.085] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:04:14.085] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:04:14.120] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:04:14.126] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:04:14.168] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:04:14.197] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:04:14.201] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T10:04:14.204] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T10:04:14.206] [INFO] app - 注册 Controller [home]
[2018-01-08T10:04:14.207] [INFO] app - 注册 Controller [server.server]
[2018-01-08T10:04:14.264] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T10:04:14.268] [INFO] app - 注册 Router [describe]
[2018-01-08T10:04:14.271] [INFO] app - 注册 Router [index]
[2018-01-08T10:04:14.272] [INFO] app - 注册 Router [server]
[2018-01-08T10:04:14.276] [INFO] app - 启动项目成功 端口：3000
