[2018-01-08T10:18:06.673] [INFO] app - 正在启动项目 模式: build
[2018-01-08T10:18:06.881] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T10:18:06.947] [INFO] app - 注册 Helper [moment]
[2018-01-08T10:18:06.948] [INFO] app - 注册 Helper [async]
[2018-01-08T10:18:06.956] [INFO] app - 注册 Helper [lodash]
[2018-01-08T10:18:06.959] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:18:06.959] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:18:06.960] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:18:06.960] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:18:06.993] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:18:06.999] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:18:07.044] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:18:07.078] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:18:07.083] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T10:18:07.086] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T10:18:07.088] [INFO] app - 注册 Controller [home]
[2018-01-08T10:18:07.089] [INFO] app - 注册 Controller [server.server]
[2018-01-08T10:18:07.150] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T10:18:07.155] [INFO] app - 注册 Router [describe]
[2018-01-08T10:18:07.156] [INFO] app - 注册 Router [index]
[2018-01-08T10:18:07.157] [INFO] app - 注册 Router [server]
[2018-01-08T10:18:07.160] [INFO] app - 启动项目成功 端口：3000
