[2018-01-08T09:54:29.208] [INFO] app - 正在启动项目 模式: build
[2018-01-08T09:54:29.396] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T09:54:29.464] [INFO] app - 注册 Helper [moment]
[2018-01-08T09:54:29.464] [INFO] app - 注册 Helper [async]
[2018-01-08T09:54:29.470] [INFO] app - 注册 Helper [lodash]
[2018-01-08T09:54:29.474] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:54:29.474] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:54:29.475] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:54:29.475] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:54:29.505] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:54:29.510] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:54:29.550] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:54:29.578] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:54:29.581] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T09:54:29.584] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T09:54:29.586] [INFO] app - 注册 Controller [home]
[2018-01-08T09:54:29.588] [INFO] app - 注册 Controller [server.server]
[2018-01-08T09:54:29.646] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T09:54:29.649] [INFO] app - 注册 Router [describe]
[2018-01-08T09:54:29.650] [INFO] app - 注册 Router [index]
[2018-01-08T09:54:29.652] [INFO] app - 注册 Router [server]
[2018-01-08T09:54:29.655] [INFO] app - 启动项目成功 端口：3000
