[2018-01-08T15:10:59.234] [INFO] app - 正在启动项目 模式: build
[2018-01-08T15:10:59.457] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-01-08T15:10:59.525] [INFO] app - 注册 Helper [moment]
[2018-01-08T15:10:59.526] [INFO] app - 注册 Helper [async]
[2018-01-08T15:10:59.532] [INFO] app - 注册 Helper [lodash]
[2018-01-08T15:10:59.537] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T15:10:59.537] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T15:10:59.538] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T15:10:59.538] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T15:10:59.581] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T15:10:59.586] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T15:10:59.652] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T15:10:59.694] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T15:10:59.697] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T15:10:59.702] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T15:10:59.704] [INFO] app - 注册 Controller [home]
[2018-01-08T15:10:59.707] [INFO] app - 注册 Controller [server.server]
[2018-01-08T15:10:59.759] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T15:10:59.761] [INFO] app - 注册 Router [describe]
[2018-01-08T15:10:59.763] [INFO] app - 注册 Router [index]
[2018-01-08T15:10:59.764] [INFO] app - 注册 Router [server]
[2018-01-08T15:10:59.766] [INFO] app - 启动项目成功 端口：3000
