[2018-01-08T09:57:08.391] [INFO] app - 正在启动项目 模式: build
[2018-01-08T09:57:08.606] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T09:57:08.666] [INFO] app - 注册 Helper [moment]
[2018-01-08T09:57:08.667] [INFO] app - 注册 Helper [async]
[2018-01-08T09:57:08.675] [INFO] app - 注册 Helper [lodash]
[2018-01-08T09:57:08.679] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:57:08.679] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:57:08.680] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:57:08.681] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:57:08.711] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:57:08.717] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:57:08.758] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:57:08.794] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:57:08.798] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T09:57:08.801] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T09:57:08.803] [INFO] app - 注册 Controller [home]
[2018-01-08T09:57:08.804] [INFO] app - 注册 Controller [server.server]
[2018-01-08T09:57:08.867] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T09:57:08.870] [INFO] app - 注册 Router [describe]
[2018-01-08T09:57:08.872] [INFO] app - 注册 Router [index]
[2018-01-08T09:57:08.873] [INFO] app - 注册 Router [server]
[2018-01-08T09:57:08.876] [INFO] app - 启动项目成功 端口：3000
