[2018-01-08T09:47:23.301] [INFO] app - 正在启动项目 模式: build
[2018-01-08T09:47:23.479] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-01-08T09:47:23.546] [INFO] app - 注册 Helper [moment]
[2018-01-08T09:47:23.546] [INFO] app - 注册 Helper [async]
[2018-01-08T09:47:23.553] [INFO] app - 注册 Helper [lodash]
[2018-01-08T09:47:23.556] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:47:23.557] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:47:23.557] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:47:23.557] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:47:23.587] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:47:23.592] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:47:23.633] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:47:23.661] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:47:23.663] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T09:47:23.666] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T09:47:23.669] [INFO] app - 注册 Controller [home]
[2018-01-08T09:47:23.671] [INFO] app - 注册 Controller [server.server]
[2018-01-08T09:47:23.722] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T09:47:23.725] [INFO] app - 注册 Router [describe]
[2018-01-08T09:47:23.726] [INFO] app - 注册 Router [index]
[2018-01-08T09:47:23.728] [INFO] app - 注册 Router [server]
[2018-01-08T09:47:23.731] [INFO] app - 启动项目成功 端口：3000
