[2018-01-08T10:00:45.547] [INFO] app - 正在启动项目 模式: build
[2018-01-08T10:00:45.752] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T10:00:45.822] [INFO] app - 注册 Helper [moment]
[2018-01-08T10:00:45.823] [INFO] app - 注册 Helper [async]
[2018-01-08T10:00:45.830] [INFO] app - 注册 Helper [lodash]
[2018-01-08T10:00:45.833] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:00:45.834] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:00:45.834] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:00:45.834] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:00:45.886] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T10:00:45.894] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T10:00:45.952] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T10:00:45.997] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T10:00:46.000] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T10:00:46.002] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T10:00:46.005] [INFO] app - 注册 Controller [home]
[2018-01-08T10:00:46.009] [INFO] app - 注册 Controller [server.server]
[2018-01-08T10:00:46.093] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T10:00:46.097] [INFO] app - 注册 Router [describe]
[2018-01-08T10:00:46.098] [INFO] app - 注册 Router [index]
[2018-01-08T10:00:46.100] [INFO] app - 注册 Router [server]
[2018-01-08T10:00:46.102] [INFO] app - 启动项目成功 端口：3000
