[2018-01-08T09:28:44.321] [INFO] app - 正在启动项目 模式: build
[2018-01-08T09:28:44.502] [INFO] app - 连接数据库 [mysql -h 114.215.183.168 -u gdtv_cms -D gdtv_cms]
[2018-01-08T09:28:44.566] [INFO] app - 注册 Helper [moment]
[2018-01-08T09:28:44.567] [INFO] app - 注册 Helper [async]
[2018-01-08T09:28:44.573] [INFO] app - 注册 Helper [lodash]
[2018-01-08T09:28:44.577] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:28:44.577] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:28:44.578] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:28:44.578] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:28:44.609] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T09:28:44.614] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T09:28:44.651] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T09:28:44.683] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T09:28:44.685] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T09:28:44.689] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T09:28:44.690] [INFO] app - 注册 Controller [home]
[2018-01-08T09:28:44.692] [INFO] app - 注册 Controller [server.server]
[2018-01-08T09:28:44.743] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T09:28:44.747] [INFO] app - 注册 Router [describe]
[2018-01-08T09:28:44.748] [INFO] app - 注册 Router [index]
[2018-01-08T09:28:44.749] [INFO] app - 注册 Router [server]
[2018-01-08T09:28:44.752] [INFO] app - 启动项目成功 端口：3000
