[2018-01-08T13:39:05.880] [INFO] app - 正在启动项目 模式: build
[2018-01-08T13:39:06.038] [INFO] app - 连接数据库 [mysql -h 192.168.0.101 -u root -D gdtv_cms]
[2018-01-08T13:39:06.100] [INFO] app - 注册 Helper [moment]
[2018-01-08T13:39:06.101] [INFO] app - 注册 Helper [async]
[2018-01-08T13:39:06.107] [INFO] app - 注册 Helper [lodash]
[2018-01-08T13:39:06.111] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T13:39:06.111] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T13:39:06.111] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T13:39:06.112] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T13:39:06.142] [INFO] app - 注册 Middleware [heiner_static]
[2018-01-08T13:39:06.146] [INFO] app - 注册 Middleware [heiner_query]
[2018-01-08T13:39:06.187] [INFO] app - 注册 Middleware [heiner_body]
[2018-01-08T13:39:06.215] [INFO] app - 注册 Middleware [heiner_view]
[2018-01-08T13:39:06.218] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-01-08T13:39:06.220] [INFO] app - 注册 Controller [describe.describe]
[2018-01-08T13:39:06.222] [INFO] app - 注册 Controller [home]
[2018-01-08T13:39:06.224] [INFO] app - 注册 Controller [server.server]
[2018-01-08T13:39:06.274] [INFO] app - 注册 Router [articleinfo]
[2018-01-08T13:39:06.277] [INFO] app - 注册 Router [describe]
[2018-01-08T13:39:06.279] [INFO] app - 注册 Router [index]
[2018-01-08T13:39:06.280] [INFO] app - 注册 Router [server]
[2018-01-08T13:39:06.283] [INFO] app - 启动项目成功 端口：3000
